"";"P5824";"P5826";"P5828";"P5830";"P5832"
"GO:0030496";0,000144075268570394;7,61112165835595e-05;0,15427129097529;8,311014045554e-05;0,000719402379392789
"GO:0000932";0,660462931351198;0,0533228917415256;0,806042121718944;0,0352298417310853;0,027296668583669
"GO:0072372";0,551026717135867;1;1;0,47810265348009;0,562872584765208
"GO:0000788";1;1;1;1;1
"GO:0035327";1;1;1;1;0,338774931535722
"GO:0032580";0,944236415040473;0,970487785537757;1;0,67506963440288;1
"GO:0017119";1;1;1;0,277516432375511;1
"GO:0019031";1;1;1;1;1
"GO:0031526";0,455827138858132;0,284196519289333;0,0977104486320378;0,355816257481268;0,472663234698367
"GO:0031232";1;0,216696149276497;1;0,149992339279699;1
"GO:0016282";0,451472727481793;5,13447543596006e-14;0,000677860520899488;1,70321291535555e-07;7,03650533334442e-17
"GO:0002199";1,07922338154523e-11;6,18362220428247e-11;4,21814493563352e-09;1,71926148435306e-12;1,4403991161418e-11
"GO:0005892";1;1;1;1;1
"GO:0000242";0,405730855853567;0,470137885433282;0,311781432627371;0,34466622461723;0,415968266508056
"GO:0005585";1;1;1;1;1
"GO:0002945";1;1;1;1;1
"GO:0019908";1;1;1;1;1
"GO:0000015";0,147936184073066;0,177480211479197;0,10858300918547;0,12190867211268;0,152478767174582
"GO:0030669";0,0112219180803427;0,00572583272847623;0,000405568099512689;0,0247445502895509;6,23411064533423e-05
"GO:0042613";0,0954449190420369;0,0422701963522023;0,00102593255076766;0,225113448371952;0,000760945949750369
"GO:0005902";0,00874763521517356;0,00423559863074436;1;0,0203248527328304;0,00997443878783365
"GO:0005911";1;0,203737634935719;0,908351609217449;0,126704433188526;0,659050106551901
"GO:0009925";1;0,732758136702397;1;1;0,672858818565502
"GO:0097013";1;1;1;1;1
"GO:0043198";1;1;1;1;0,7340507082893
"GO:0031235";1;1;1;1;1
"GO:0043195";0,733328995943538;0,800729263458158;0,61285985562769;1;0,744842205768393
"GO:0048786";1;1;1;1;1
"GO:0030175";0,0157018231268554;0,0364265173234244;0,435545221541455;0,0842635356148308;0,0586343694072508
"GO:0097225";1;1;1;1;1
"GO:0031528";0,102463444992745;0,00349842486405103;1;0,0720742967175425;0,00193311442750613
"GO:0000808";1;1;1;1;1
"GO:0005664";0,302502621382778;0,355748921937489;1;1;1
"GO:0005779";0,429059118227477;1;0,331287528700445;1;1
"GO:0071942";1;1;1;1;1
"GO:0000502";0,00110536169862117;3,02460016862035e-06;0,118162915480779;3,75863068992566e-05;0,0012764175642089
"GO:0005761";1;1;0,0205687126148761;0,494807493220515;1
"GO:0030176";0,184463027482052;0,134590822257505;0,0777543441611625;0,548140462445896;0,199347386505714
"GO:0030864";0,0417019919722172;0,0672740596912376;1;0,0247399862438255;0,0451929480025955
"GO:0034706";1;1;1;1;1
"GO:0005736";0,302502621382778;1;1;1;1
"GO:0060205";0,113139310714978;0,136303070325015;1;0,0928986190653168;0,116687659096311
"GO:0042589";0,0367763168166408;0,323487943169753;0,0200236635684788;0,228975735907015;0,281731713910725
"GO:0032154";9,30175836429234e-05;0,00188881192041639;0,292696670402331;0,00120489679489251;0,0665478067801956
"GO:0043235";1;1;1;1;1
"GO:0071141";1;1;1;1;1
"GO:0031429";1;0,0476683937823834;1;1;1
