"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"495";495;"Q562R1";"Q562R1";"Q562R1";"ACTBL_HUMAN";"Beta-actin-like protein 2";"ACTBL2";1;1;0,00033588316709422;0;1;0;1;0;0,000826477562981535;"cytoskeleton, cytoplasm, extracellular space, extracellular vesicular exosome";0,000171291538198013
"496";496;"Q5TZA2";"Q5TZA2-1,Q5TZA2-2";"Q5TZA2-1,Q5TZA2-2";"CROCC_HUMAN";"Rootletin";"CROCC";1;2;3,98904869831455e-05;1;1;1;1;NA;NA;"centriole, extracellular vesicular exosome, actin cytoskeleton, plasma membrane, cytoplasm, centrosome, ciliary rootlet";0,000342583076396026
"497";497;"Q5XKE5";"Q5XKE5";"Q5XKE5";"K2C79_HUMAN";"Keratin, type II cytoskeletal 79";"KRT79";0;0;0;0;0;0;0;0;0;"keratin filament, extracellular vesicular exosome";0
"502";502;"Q71U36";"Q71U36";"Q71U36";"TBA1A_HUMAN";"Tubulin alpha-1A chain";"TUBA1A";0;0;NA;0;0;0;0;NA;NA;"cytoplasmic microtubule, cytosol, microtubule, extracellular vesicular exosome";0
"503";503;"Q7KZF4";"Q7KZF4";"Q7KZF4";"SND1_HUMAN";"Staphylococcal nuclease domain-containing protein 1";"SND1";17;34;0,00225462347499738;16;13;19;15;0,00296710570146198;0,00236415897982207;"RISC complex, nucleus, mitochondrion, melanosome, extracellular vesicular exosome, cytoplasm";0,00582391229873244
"506";506;"Q86UE4";"Q86UE4";"Q86UE4";"LYRIC_HUMAN";"Protein LYRIC";"MTDH";6;11;0,00114052865295754;6;5;6;5;0,00146503862633228;0,00123217907883052;"apical plasma membrane, endoplasmic reticulum, cytoplasm, endoplasmic reticulum membrane, intercellular canaliculus, nuclear membrane, tight junction, nuclear body, integral component of membrane, nucleolus, nucleus, perinuclear region of cytoplasm";0,00188420692017814
"507";507;"Q86V81";"Q86V81";"Q86V81";"THOC4_HUMAN";"THO complex subunit 4";"ALYREF";3;6;0,00140881714047673;3;3;3;3;0,0016588569660027;0,00167422931644987;"nuclear speck, cytosol, nucleoplasm, extracellular vesicular exosome, transcription export complex, catalytic step 2 spliceosome";0,00102774922918808
"508";508;"Q86YZ3";"Q86YZ3";"Q86YZ3";"HORN_HUMAN";"Hornerin";"HRNR";13;25;0,000529336264769766;10;11;12;13;0,000598352617912554;0,000654222239328541;"extracellular vesicular exosome, cornified envelope";0,00428228845495033
"513";513;"Q8NBQ5";"Q8NBQ5";"Q8NBQ5";"DHB11_HUMAN";"Estradiol 17-beta-dehydrogenase 11";"HSD17B11";1;2;0,000402295561225022;1;1;1;1;0,000473695822514105;0,000478085482586242;"lipid particle, extracellular region, cytoplasm";0,000342583076396026
"514";514;"Q8NC51";"Q8NC51-1,Q8NC51-2";"Q8NC51-1,Q8NC51-2";"PAIRB_HUMAN";"Plasminogen activator inhibitor 1 RNA-binding protein";"SERBP1";15;36;0,00266225003751853;14;13;18;18;NA;NA;"plasma membrane, nucleus, perinuclear region of cytoplasm, extracellular vesicular exosome, cytoplasm";0,00616649537512847
"519";519;"Q92688";"Q92688-1,Q92688-2";"Q92688-1,Q92688-2";"AN32B_HUMAN";"Acidic leucine-rich nuclear phosphoprotein 32 family member B";"ANP32B";1;2;0,000641108464103621;1;1;1;1;NA;NA;"cytoplasm, nucleus, extracellular vesicular exosome";0,000342583076396026
"520";520;"Q92764";"Q92764";"Q92764";"KRT35_HUMAN";"Keratin, type I cuticular Ha5";"KRT35";4;9;0,00339602237930483;4;4;5;4;0,00437563675881559;0,00366272172362109;"intermediate filament, extracellular space";0,00154162384378212
"522";522;"Q92820";"Q92820";"Q92820";"GGH_HUMAN";"Gamma-glutamyl hydrolase";"GGH";2;8;0,00151809645745291;2;2;4;4;0,0017875314057136;0,0018040961607028;"lysosome, cytosol, extracellular vesicular exosome, melanosome, extracellular space";0,0013703323055841
"530";530;"Q96CT7";"Q96CT7";"Q96CT7";"CC124_HUMAN";"Coiled-coil domain-containing protein 124";"CCDC124";5;9;0,00243542155898556;5;3;5;4;0,00318629477027425;0,00257265730539682;"microtubule organizing center, plasma membrane, midbody, cytoplasm";0,00154162384378212
"538";538;"Q99578";"Q99578-1";"Q99578-1";"RIT2_HUMAN";"GTP-binding protein Rit2";"RIT2";2;2;0,000556168978652104;2;NA;2;NA;NA;NA;"plasma membrane, nucleus";0,000342583076396026
"541";541;"Q99714";"Q99714-1,Q99714-2";"Q99714-1,Q99714-2";"HCD2_HUMAN";"3-hydroxyacyl-CoA dehydrogenase type-2";"HSD17B10";4;9;0,0010404195548923;4;4;4;5;NA;NA;"plasma membrane, mitochondrial matrix, endoplasmic reticulum, mitochondrion, cytoplasm, mitochondrial inner membrane";0,00154162384378212
"543";543;"Q99832";"Q99832-1,Q99832-3";"Q99832-1,Q99832-3";"TCPH_HUMAN";"T-complex protein 1 subunit eta";"CCT7";12;21;0,00116687939029357;10;10;10;11;NA;NA;"cytoplasm, mitochondrion, zona pellucida receptor complex, microtubule, chaperonin-containing T-complex, cytosol, cell body, extracellular vesicular exosome";0,00359712230215827
"544";544;"Q9BPX5";"Q9BPX5";"Q9BPX5";"ARP5L_HUMAN";"Actin-related protein 2/3 complex subunit 5-like protein";"ARPC5L";1;1;0,000394407412965708;1;NA;1;NA;0,000928815338262951;NA;"cytoplasm, extracellular vesicular exosome, cytoskeleton";0,000171291538198013
"545";545;"Q9BQ39";"Q9BQ39";"Q9BQ39";"DDX50_HUMAN";"ATP-dependent RNA helicase DDX50";"DDX50";1;1;0,000136463894581079;1;0;1;0;0,000269948772667468;0;"plasma membrane, nucleolus";0,000171291538198013
"550";550;"Q9BUF5";"Q9BUF5";"Q9BUF5";"TBB6_HUMAN";"Tubulin beta-6 chain";"TUBB6";2;6;0,00141314584286816;2;2;3;3;0,00167280475439398;0,00167222724850793;"cytoplasm, microtubule, extracellular vesicular exosome";0,00102774922918808
"555";555;"Q9HB71";"Q9HB71-1";"Q9HB71-1";"CYBP_HUMAN";"Calcyclin-binding protein";"CACYBP";6;12;0,00317601758861859;6;4;6;6;NA;NA;"cell body, extracellular vesicular exosome, nucleus, beta-catenin destruction complex, neuron projection, nuclear envelope lumen, cytoplasm";0,00205549845837616
"565";565;"Q9P0L0";"Q9P0L0-1,Q9P0L0-2";"Q9P0L0-1,Q9P0L0-2";"VAPA_HUMAN";"Vesicle-associated membrane protein-associated protein A";"VAPA";1;2;0,000242346723629531;1;1;1;1;NA;NA;"endoplasmic reticulum membrane, endoplasmic reticulum, plasma membrane, integral component of membrane, vesicle, microtubule";0,000342583076396026
"566";566;"Q9P227";"Q9P227-1";"Q9P227-1";"RHG23_HUMAN";"Rho GTPase-activating protein 23";"ARHGAP23";2;2;8,09447809305879e-05;2;NA;2;NA;NA;NA;"extracellular vesicular exosome, cytosol";0,000342583076396026
"573";573;"Q9UKV3";"Q9UKV3-5";"Q9UKV3-5";"ACINU_HUMAN";"Apoptotic chromatin condensation inducer in the nucleus";"ACIN1";4;4;0,000179998013970927;4;NA;4;NA;NA;NA;"nucleus, nuclear speck, ASAP complex, cytoplasm, cytosol, plasma membrane";0,000685166152792052
"574";574;"Q9UL46";"Q9UL46";"Q9UL46";"PSME2_HUMAN";"Proteasome activator complex subunit 2";"PSME2";3;7;0,00176740727734842;3;3;4;3;0,00237838906701643;0,00180032190095237;"extracellular vesicular exosome, cytosol, nucleoplasm, proteasome complex, proteasome activator complex";0,00119904076738609
"575";575;"Q9ULV4";"Q9ULV4";"Q9ULV4";"COR1C_HUMAN";"Coronin-1C";"CORO1C";3;5;0,000636543609533263;2;3;2;3;0,000599614965207728;0,000907757245416914;"plasma membrane, lamellipodium, cytoplasm, actin cytoskeleton";0,000856457690990065
"580";580;"Q9UQ80";"Q9UQ80";"Q9UQ80";"PA2G4_HUMAN";"Proliferation-associated protein 2G4";"PA2G4";15;31;0,0047479044662344;14;13;17;14;0,00613159567213689;0,00509634270777212;"nucleolus, ribonucleoprotein complex, cytoplasm, extracellular vesicular exosome, nucleus";0,0053100376841384
"582";582;"Q9Y230";"Q9Y230";"Q9Y230";"RUVB2_HUMAN";"RuvB-like 2";"RUVBL2";2;4;0,000521333340680374;2;2;2;2;0,00061386067712411;0,00061954922149405;"ribonucleoprotein complex, membrane, cytoplasm, MLL1 complex, intracellular, nucleus, Ino80 complex, NuA4 histone acetyltransferase complex, Swr1 complex, extracellular vesicular exosome, nuclear matrix, nucleoplasm";0,000685166152792052
"584";584;"Q9Y265";"Q9Y265-1,Q9Y265-2";"Q9Y265-1,Q9Y265-2";"RUVB1_HUMAN";"RuvB-like 1";"RUVBL1";2;4;0,000264668132384883;2;2;2;2;NA;NA;"nuclear matrix, nucleoplasm, nucleus, Golgi apparatus, membrane, extracellular vesicular exosome, microtubule organizing center, intracellular membrane-bounded organelle, cytoplasm, MLL1 complex, Swr1 complex, Ino80 complex, NuA4 histone acetyltransferase complex";0,000685166152792052
"587";587;"Q9Y2Q3";"Q9Y2Q3-1,Q9Y2Q3-4";"Q9Y2Q3-1,Q9Y2Q3-4";"GSTK1_HUMAN";"Glutathione S-transferase kappa 1";"GSTK1";2;4;0,000534020656493392;1;2;2;2;NA;NA;"mitochondrial matrix, mitochondrial inner membrane, intracellular, extracellular vesicular exosome, peroxisome";0,000685166152792052
