"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"299";299;"P52566";"P52566";"P52566";"GDIR2_HUMAN";"Rho GDP-dissociation inhibitor 2";"ARHGDIB";1;2;0,000600441136156749;1;1;1;1;0,00070700869031956;0,00071356042177051;"cytoplasmic membrane-bounded vesicle, cytosol, extracellular vesicular exosome, cytoskeleton, cytoplasm";0,000342583076396026
"302";302;"P53396";"P53396-1,P53396-2";"P53396-1,P53396-2";"ACLY_HUMAN";"ATP-citrate synthase";"ACLY";6;10;0,000274043297837208;6;3;6;4;NA;NA;"nucleus, cytosol, citrate lyase complex, cytoplasm, mitochondrion, extracellular vesicular exosome, plasma membrane";0,00171291538198013
"303";303;"P53618";"P53618";"P53618";"COPB_HUMAN";"Coatomer subunit beta";"COPB1";2;2;0,000126640785275453;NA;2;NA;2;NA;0,000300998205195955;"cytosol, intracellular membrane-bounded organelle, Golgi-associated vesicle, Golgi membrane, cytoplasm, endoplasmic reticulum-Golgi intermediate compartment, COPI vesicle coat, plasma membrane, Golgi apparatus";0,000342583076396026
"304";304;"P53999";"P53999";"P53999";"TCP4_HUMAN";"Activated RNA polymerase II transcriptional coactivator p15";"SUB1";2;4;0,0019006089506694;2;2;2;2;0,00223793301975168;0,00225867157127358;"nucleolus, nucleus, transcription factor complex, extracellular vesicular exosome";0,000685166152792052
"305";305;"P54136";"P54136-1";"P54136-1";"SYRC_HUMAN";"Arginine--tRNA ligase, cytoplasmic";"RARS";2;3;0,00027429242810797;1;2;1;2;NA;NA;"aminoacyl-tRNA synthetase multienzyme complex, nucleus, cytoplasm, cytosol, mitochondrion, extracellular vesicular exosome";0,000513874614594039
"306";306;"P54577";"P54577";"P54577";"SYYC_HUMAN";"Tyrosine--tRNA ligase, cytoplasmic";"YARS";6;9;0,00102859660540489;5;4;5;4;0,00134572676850598;0,00108655791496873;"nucleus, cytosol, cytoplasm, extracellular space";0,00154162384378212
"307";307;"P54578";"P54578";"P54578";"UBP14_HUMAN";"Ubiquitin carboxyl-terminal hydrolase 14";"USP14";3;4;0,000488618090556707;3;NA;4;NA;0,0011506781113703;NA;"proteasome complex, plasma membrane, cytoplasmic membrane-bounded vesicle, cell surface, cytoplasm, synapse";0,000685166152792052
"309";309;"P55072";"P55072";"P55072";"TERA_HUMAN";"Transitional endoplasmic reticulum ATPase";"VCP";11;20;0,00149737801944797;9;9;10;10;0,00176313581580932;0,00177947450094135;"extracellular vesicular exosome, perinuclear region of cytoplasm, endoplasmic reticulum, intracellular membrane-bounded organelle, lipid particle, nucleus, site of double-strand break, proteasome complex, cytoplasm, cytosol";0,00342583076396026
"313";313;"P55884";"P55884-1,P55884-2";"P55884-1,P55884-2";"EIF3B_HUMAN";"Eukaryotic translation initiation factor 3 subunit B";"EIF3B";6;11;0,000407731987728063;5;5;6;5;NA;NA;"eukaryotic translation initiation factor 3 complex, extracellular vesicular exosome, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex";0,00188420692017814
"314";314;"P56192";"P56192";"P56192";"SYMC_HUMAN";"Methionine--tRNA ligase, cytoplasmic";"MARS";4;5;0,000335246301020852;2;3;2;3;0,000315797215009403;0,000478085482586242;"cytoplasm, cytosol, extracellular vesicular exosome, mitochondrion";0,000856457690990065
"316";316;"P59998";"P59998";"P59998";"ARPC4_HUMAN";"Actin-related protein 2/3 complex subunit 4";"ARPC4";4;7;0,00251434725765639;4;3;4;3;0,00338354158938646;0,00256117222814058;"extracellular vesicular exosome, Arp2/3 protein complex, cytosol, cell projection";0,00119904076738609
"317";317;"P60174";"P60174-1,P60174-3";"P60174-1,P60174-3";"TPIS_HUMAN";"Triosephosphate isomerase";"TPI1";4;8;0,000843976701870675;4;4;4;4;NA;NA;"extracellular vesicular exosome, cytosol, extracellular space";0,0013703323055841
"318";318;"P60228";"P60228";"P60228";"EIF3E_HUMAN";"Eukaryotic translation initiation factor 3 subunit E";"EIF3E";7;11;0,00149165769892424;5;5;6;5;0,00191607298994469;0,00161152409860531;"nucleus, cytoplasm, eukaryotic 48S preinitiation complex, cytosol, eukaryotic 43S preinitiation complex, nucleoplasm, extracellular vesicular exosome, eukaryotic translation initiation factor 3 complex, PML body";0,00188420692017814
"320";320;"P60709";"P60709,P63261";"P60709,P63261";"ACTB_HUMAN, ACTG_HUMAN";"Actin, cytoplasmic 1, Actin, cytoplasmic 2";"ACTB, ACTG1";4;13;0,00312492907712167;4;4;8;5;0,00446135338295103;0,00290835335239964;"extracellular vesicular exosome, nucleoplasm, cortical cytoskeleton, cytoplasm, MLL5-L complex, axon, cytosol, ribonucleoprotein complex, extracellular space, NuA4 histone acetyltransferase complex, cytoskeleton, blood microparticle, postsynaptic density";0,00222678999657417
"321";321;"P60842";"P60842";"P60842";"IF4A1_HUMAN";"Eukaryotic initiation factor 4A-I";"EIF4A1";4;8;0,00118905091987691;4;3;4;4;0,00140008617491854;0,00141306053966377;"extracellular vesicular exosome, eukaryotic translation initiation factor 4F complex, cytosol";0,0013703323055841
"322";322;"P60866";"P60866-1,P60866-2";"P60866-1,P60866-2";"RS20_HUMAN";"40S ribosomal protein S20";"RPS20";4;10;0,00253547622620812;4;2;6;4;NA;NA;"extracellular vesicular exosome, cytosol, cytoplasm, cytosolic small ribosomal subunit";0,00171291538198013
"324";324;"P61158";"P61158";"P61158";"ARP3_HUMAN";"Actin-related protein 3";"ACTR3";9;18;0,0025985598452334;9;9;9;9;0,00305975770523465;0,0030881119688585;"podosome, cytosol, actin cytoskeleton, lamellipodium, extracellular vesicular exosome, excitatory synapse, hemidesmosome, Golgi membrane, Arp2/3 protein complex";0,00308324768756423
